id,declined,valueClient,extraCost,valueResources,net,processDuration,daysOnContact,daysOnInterview,daysOnSendCV,daysOnReturn,daysOnCSchedule,daysOnCRealized,daysOnApproved,daysOnClosed
30,0,19320.0,0.0,9240.0,6525.12,24,0,1,0,19,1,1,0,0
31,0,8305.08,0.0,2800.0,1876.9452800000001,6,0,0,0,0,0,0,0,0
32,0,12768.0,0.0,8064.0,2354.688,5,0,0,0,0,0,0,0,0
33,0,15288.0,0.0,11760.0,715.008,67,0,4,0,7,5,15,14,0
34,0,25536.0,0.0,13440.0,7397.376,5,0,0,0,1,0,0,0,0
35,0,6720.0,0.0,3500.0,-641.48,17,0,1,0,1,5,1,0,0
36,0,12096.0,0.0,8064.0,1806.336,75,0,5,0,30,7,7,1,0
37,0,4725.39,0.0,1831.98,649.95324,89,0,0,0,7,0,34,0,0
38,0,10416.0,0.0,8064.0,435.45599999999996,36,0,6,0,7,2,6,0,0
39,0,16800.0,0.0,8000.0,1088.0,70,0,2,7,0,0,4,1,0
40,0,10416.0,0.0,9240.0,-740.544,20,0,1,0,1,4,1,0,0
41,0,13440.0,0.0,8904.0,2063.04,27,0,0,0,1,3,4,0,0
42,0,10416.0,0.0,9000.0,-6800.544,25,0,0,0,1,1,5,1,0
43,0,11592.0,0.0,7896.0,1563.0720000000001,46,0,4,0,19,1,5,1,0
44,0,18144.0,0.0,10920.0,3885.5040000000004,33,0,1,0,21,4,0,0,0
45,0,16800.0,0.0,10000.0,1360.0,21,1,0,0,6,2,4,4,0
46,0,13776.0,0.0,10080.0,1161.2160000000001,13,0,0,0,5,5,1,0,0
47,1,28392.0,0.0,10000.0,6167.871999999999,28,1,4,0,2,0,4,6,0
48,0,14196.0,0.0,10920.0,663.936,26,0,0,0,8,4,0,1,0
49,0,15624.0,0.0,10248.0,2501.1839999999997,0,0,0,0,0,0,0,0,0
50,0,14196.0,0.0,10920.0,663.936,0,0,0,0,0,0,0,0,0
51,0,21840.0,0.0,15120.0,2701.44,0,0,0,0,0,0,0,0,0
52,0,15456.0,0.0,9744.0,2868.0959999999995,0,0,0,0,0,0,0,0,0
53,0,9687.81,0.0,3000.0,2655.2529600000003,0,0,0,0,0,0,0,0,0
54,0,12012.0,0.0,10080.0,-278.20799999999997,0,0,0,0,0,0,0,0,0
55,1,12230.4,0.0,9408.0,572.0064,11,0,0,0,0,0,0,0,0
56,1,13020.0,0.0,10920.0,-295.68,26,1,0,1,4,3,10,0,0
57,0,15120.0,0.0,4000.0,489.6,26,0,2,4,0,6,0,0,3
58,0,3700.0,0.0,4000.0,503.2,40,0,0,0,0,0,0,0,1
59,0,11575.2,0.0,8904.0,541.3632,4,0,0,0,0,0,0,0,0
60,1,3900.0,0.0,4000.0,530.4,21,1,1,1,5,6,0,0,0
61,0,11854.84,0.0,4500.0,1798.5494399999998,0,0,0,0,0,0,0,0,0
62,1,8400.0,0.0,4500.0,306.0,90,0,1,0,5,1,38,0,0
63,0,11854.84,0.0,3500.0,3548.54944,0,0,0,0,0,0,0,0,0
64,0,10920.0,0.0,6720.0,2190.72,13,0,0,0,1,2,1,0,0
65,1,15624.0,0.0,10248.0,2501.1839999999997,58,0,0,0,0,0,0,0,0
66,0,10500.0,0.0,4000.0,1568.0,6,0,0,0,3,1,0,0,0
67,1,13440.0,0.0,6552.0,4415.04,44,0,0,0,15,5,3,0,0
68,1,14999.04,0.0,14000.0,-11560.78336,58,0,6,0,14,4,0,4,0
69,0,13104.0,0.0,10080.0,612.864,0,0,0,0,0,0,0,0,0
70,0,18480.0,0.0,12000.0,-5320.32,19,0,7,0,1,7,0,0,0
71,0,16800.0,0.0,4999.68,679.9564799999999,19,0,0,0,8,0,6,0,0
72,0,0.0,0.0,8000.0,0.0,63,0,1,0,21,3,14,20,0
73,1,15288.0,0.0,11760.0,715.008,28,0,2,7,7,6,0,1,0
74,0,12180.0,0.0,9240.0,698.88,34,0,0,0,0,5,0,2,0
75,0,16800.0,0.0,5000.0,680.0,27,0,1,0,0,2,5,14,0
76,0,15960.0,0.0,9240.0,3783.36,17,1,0,0,6,2,0,0,0
77,0,13440.0,0.0,8019.0,872.4672,48,1,0,0,2,5,6,24,0
78,0,16800.0,0.0,6754.5,2226.15,16,0,0,0,1,1,7,4,0
79,0,12264.0,0.0,8551.2,1456.224,33,0,1,0,7,3,3,0,7
80,0,16800.0,0.0,5700.0,775.2,33,1,0,0,1,5,13,0,0
81,0,13440.0,0.0,8904.0,2063.04,5,0,0,0,0,0,0,0,0
82,0,13805.0,0.0,11000.0,-7435.12,18,0,0,0,0,0,0,0,0
83,1,13742.4,0.0,8904.0,2309.7984,28,0,1,0,1,1,12,0,0
84,0,8736.0,0.0,10416.0,-3287.4240000000004,28,0,3,11,2,1,1,0,0
85,0,16800.0,0.0,6998.88,951.8476800000001,99,0,0,2,75,8,2,0,0
86,0,10080.0,0.0,7000.56,8152.3575,14,0,0,0,1,1,0,6,0
87,0,12516.0,0.0,10080.0,133.056,6,0,0,0,0,0,0,0,0
88,0,12936.0,0.0,8064.0,2491.776,15,1,0,0,1,5,3,3,0
89,0,18000.0,0.0,7500.0,1938.0,0,0,0,0,0,0,0,0,0
90,0,16800.0,0.0,10500.0,3208.8,0,0,0,0,0,0,0,0,0
91,0,31458.0,0.0,0.0,25669.728,0,0,0,0,0,0,0,0,0
92,0,10080.0,0.0,3360.0,4865.28,41,0,0,0,0,0,0,4,0
93,1,12768.0,0.0,8904.0,1514.6879999999999,35,0,3,0,27,0,0,0,1
94,0,16800.0,0.0,6300.0,856.8,15,0,1,0,0,4,1,0,0
95,0,12600.0,0.0,8568.0,1713.6,28,0,0,0,7,0,1,1,0
96,0,13440.0,0.0,8400.0,2567.04,19,0,2,0,0,5,1,0,0
97,0,0.0,0.0,4800.0,0.0,0,0,0,0,0,0,0,0,0
98,0,13440.0,0.0,9240.0,1727.04,41,2,0,0,26,1,1,0,0
99,0,16800.0,0.0,5925.0,805.8,19,0,1,0,3,1,10,0,0
100,0,6552.0,0.0,5040.0,306.432,18,0,0,0,0,0,0,0,0
101,0,16800.0,0.0,12096.0,1612.8,8,0,0,0,2,0,2,4,0
102,0,13070.4,0.0,0.0,10665.4464,0,0,0,0,0,0,0,0,0
103,0,10651.2,0.0,5000.0,191.3792,0,0,0,0,0,0,0,0,0
104,0,16800.0,0.0,8400.0,5308.8,14,0,1,0,0,0,4,1,0
105,0,5995.0,0.0,2461.55,584.2075,0,0,0,0,0,0,0,0,0
106,0,13440.0,0.0,8200.0,-2972.96,14,0,0,0,3,3,0,0,0
107,0,18984.0,0.0,11928.0,3562.9440000000004,21,0,1,0,1,3,7,3,0
108,0,16800.0,0.0,10072.5,1369.86,39,0,0,0,0,5,0,14,1
109,1,16800.0,0.0,8000.0,1088.0,24,0,0,0,6,5,2,0,0
110,0,16800.0,0.0,7000.0,1808.8,24,3,0,0,0,1,0,1,1
111,0,17976.0,0.0,10080.0,4588.416,21,0,1,0,1,7,5,0,0
112,0,16800.0,0.0,3000.0,408.0,15,0,0,0,0,9,0,0,0
113,0,14952.0,0.0,11760.0,440.832,6,0,1,0,0,0,1,0,0
114,0,0.0,0.0,1332.0,0.0,20,0,1,0,0,0,0,0,0
115,0,9912.0,0.0,6501.6,1586.592,48,0,0,3,13,5,1,1,0
116,1,13440.0,0.0,10920.0,47.04,12,0,0,0,0,0,0,0,0
117,0,18984.0,0.0,11928.0,3562.9440000000004,11,0,0,0,0,1,0,4,0
118,0,17976.0,0.0,12936.0,1732.4160000000002,18,0,0,0,1,6,0,0,0
119,0,0.0,0.0,3000.0,0.0,17,1,0,0,0,3,0,0,0
120,0,14999.04,0.0,11760.0,479.21664000000004,20,0,0,0,0,1,0,1,0
121,0,16800.0,0.0,6000.0,816.0,41,0,1,7,0,6,1,0,0
122,0,16800.0,0.0,15405.0,2095.08,20,1,2,0,0,5,1,0,0
123,0,16800.0,0.0,11424.0,2284.8,5,0,0,0,0,0,0,0,0
124,0,16632.0,0.0,10080.0,3491.712,95,0,0,0,2,11,31,17,0
125,0,7650.0,0.0,3000.0,992.4,0,0,0,0,0,0,0,0,0
126,0,19320.0,0.0,12432.0,3333.12,54,5,1,1,5,7,18,3,0
127,0,9100.0,0.0,3800.0,775.6,12,0,0,1,0,4,1,0,0
128,0,17976.0,0.0,11424.0,3244.4159999999997,5,0,0,0,0,0,0,0,0
129,0,16800.0,0.0,9240.0,1256.64,14,0,1,0,1,4,7,0,0
130,0,16800.0,0.0,2070.65,281.6084,33,0,1,0,1,1,6,7,0
131,0,14999.04,0.0,10080.0,2159.2166399999996,7,0,0,0,0,1,0,0,0
132,0,8295.0,0.0,7000.0,1128.12,54,0,0,1,12,2,5,21,0
133,0,13440.0,0.0,10000.0,1088.0,25,0,0,0,0,3,0,1,0
134,1,11256.0,0.0,7728.0,1456.896,52,0,0,14,1,9,0,4,0
135,0,16800.0,0.0,6500.0,884.0,38,2,2,0,7,5,7,5,0
136,0,16800.0,0.0,10074.54,1370.13744,48,1,0,0,0,2,27,0,0
137,0,6786.72,0.0,1800.0,2387.96352,0,0,0,0,0,0,0,0,0
138,0,10500.0,0.0,4000.0,1568.0,26,0,1,0,0,7,13,0,0
139,0,16800.0,0.0,1539.42,209.36112,26,0,1,5,2,4,0,0,0
140,0,11760.0,0.0,7896.0,1700.16,11,1,3,0,0,1,0,0,0
141,1,10500.0,0.0,4000.0,1568.0,27,0,0,0,0,6,14,0,0
142,0,12000.0,0.0,4500.0,1917.0,32,0,0,0,0,11,11,0,0
143,0,10500.0,0.0,4000.0,1568.0,25,0,0,0,0,6,14,0,0
144,0,13440.0,0.0,6925.38,753.481344,83,0,1,3,1,2,6,51,0
145,0,13440.0,0.0,10500.0,467.04,17,0,0,0,0,2,0,0,0
146,0,5994.24,0.0,2598.96,2292.3398399999996,5,0,0,0,3,0,0,0,0
147,1,16800.0,0.0,5600.0,761.6,74,0,1,2,33,1,2,0,0
148,0,16800.0,0.0,3059.83,416.13687999999996,78,0,0,0,0,0,0,1,0
149,0,16800.0,0.0,3500.0,476.0,42,1,1,0,16,4,1,0,0
150,0,14784.0,0.0,9240.0,2823.744,26,0,0,5,15,3,0,0,0
151,0,16800.0,0.0,13440.0,1827.84,39,0,0,0,8,1,7,0,0
152,1,15288.0,0.0,11760.0,715.008,11,0,0,0,0,0,0,0,0
153,1,16800.0,0.0,11645.66,1583.8097599999999,32,0,5,0,0,1,0,9,0
154,0,10080.0,0.0,6384.0,1841.28,26,0,3,0,0,0,0,0,0
155,0,13440.0,0.0,10584.0,383.04,10,0,0,0,3,1,0,0,0
156,0,12000.0,0.0,5000.0,1292.0,24,0,0,8,0,2,1,3,0
157,0,12264.0,0.0,8400.0,1607.424,0,0,0,0,0,0,0,0,0
158,0,13440.0,0.0,10920.0,47.04,34,0,5,0,0,0,1,1,0
159,0,13440.0,0.0,11928.0,-960.96,47,0,0,0,2,4,0,1,0
160,0,13440.0,0.0,10248.0,719.04,10,0,0,0,3,1,0,0,0
161,0,13440.0,0.0,7560.0,3407.04,49,1,1,0,0,5,1,0,0
162,0,12012.0,0.0,0.0,9801.792,0,0,0,0,0,0,0,0,0
163,0,10651.2,0.0,6500.0,-2358.6208,7,0,0,0,0,0,0,1,0
164,0,18312.0,0.0,12600.0,2342.592,55,0,0,0,24,4,3,4,3
165,0,19756.8,0.0,4200.0,8771.5488,37,1,5,0,0,1,7,7,0
166,1,13440.0,0.0,10239.6,727.44,13,0,0,1,0,5,1,0,0
167,0,11029.2,0.0,7499.52,1500.3072,12,0,0,0,5,1,0,1,0
168,0,16800.0,0.0,10074.54,1370.13744,40,0,1,0,6,3,8,3,0
169,0,13440.0,0.0,11928.0,-960.96,14,1,0,0,1,5,0,1,0
170,0,13440.0,0.0,11760.0,-792.96,22,2,0,1,0,5,1,5,0
171,0,13944.0,0.0,8400.0,2978.304,43,0,0,0,0,11,0,11,0
172,0,14710.08,0.0,10506.72,1496.7052800000001,0,0,0,0,0,0,0,0,0
173,0,16800.0,0.0,8800.0,1196.8,30,0,0,1,0,6,17,11,0
174,0,10699.67,0.0,3500.0,2605.93072,68,0,1,5,29,0,8,4,0
175,0,14112.0,0.0,8904.0,2611.3920000000003,19,1,0,0,0,0,0,1,0
176,0,12600.0,0.0,6384.0,3897.6,5,0,0,0,1,0,0,0,0
177,0,16800.0,0.0,3059.83,416.13687999999996,55,0,3,1,1,1,26,0,0
178,0,13440.0,0.0,11760.0,-792.96,33,0,4,0,0,0,0,2,0
179,0,13440.0,0.0,11760.0,-792.96,17,0,3,0,0,2,0,1,0
180,0,13440.0,0.0,10080.0,887.04,9,0,0,0,0,1,1,1,0
181,0,9240.0,0.0,5880.0,1659.84,91,0,4,0,1,3,3,2,0
182,0,15849.12,0.0,10439.52,2493.36192,71,0,4,0,29,4,0,1,0
183,0,8969.52,0.0,6720.0,599.12832,9,0,1,0,0,0,5,1,0
184,0,16800.0,0.0,7210.14,980.5790400000001,49,0,0,0,0,0,0,18,0
185,0,14999.04,0.0,11424.0,815.21664,12,0,1,0,0,0,1,0,0
186,0,16800.0,0.0,7354.34,1000.19024,54,0,0,0,0,0,0,5,0
187,0,9240.0,0.0,3696.0,3843.84,11,0,1,0,0,3,1,0,0
188,1,6048.0,0.0,4032.0,903.168,81,0,0,0,75,0,1,1,0
189,0,13440.0,0.0,11760.0,-792.96,25,0,3,0,0,0,0,1,0
190,0,5994.24,0.0,3528.0,1363.2998400000001,2,0,0,0,0,0,0,0,0
191,0,13440.0,0.0,11760.0,-792.96,35,0,4,0,0,7,4,2,0
192,0,12999.84,0.0,8000.0,-2992.13056,7,0,2,0,0,0,0,0,0
193,0,9999.36,0.0,7224.0,935.47776,27,0,1,2,10,8,0,0,0
194,1,16800.0,0.0,10920.0,1485.12,0,0,0,0,0,1,19,0,0
195,0,13440.0,0.0,10920.0,47.04,20,0,4,0,0,1,7,0,0
196,0,14275.0,0.0,8000.0,-1951.6,10,0,0,0,0,1,0,0,0
197,0,16800.0,0.0,4500.0,612.0,28,0,2,0,1,7,6,0,0
198,1,11046.0,0.0,8064.0,949.5360000000001,0,0,0,1,0,1,7,0,0
199,0,13440.0,0.0,10584.0,383.04,6,0,0,0,0,1,0,0,0
200,0,9100.0,0.0,3500.0,1300.6,14,1,0,0,3,1,0,0,0
201,0,16632.0,0.0,10998.96,2572.752,17,0,0,0,4,1,8,0,0
202,0,13245.12,0.0,4515.75,2905.45542,28,2,0,0,6,1,8,0,0
203,0,25200.0,0.0,12936.0,7627.2,42,1,0,16,1,6,0,0,0
204,0,13440.0,0.0,6150.0,669.12,15,1,0,1,0,5,0,0,0
205,0,6317.5,0.0,1450.0,2617.58,42,0,0,0,28,2,5,0,0
206,0,23249.52,0.0,9999.36,8972.24832,12,1,0,0,0,0,0,0,0
207,0,19320.0,0.0,12348.0,3417.12,19,0,0,0,3,3,1,0,0
208,0,14448.0,0.0,9576.0,2213.5679999999998,20,1,5,0,1,7,0,0,0
209,0,15120.0,0.0,10080.0,2257.92,15,0,0,0,0,9,4,1,0
210,0,16800.0,0.0,11000.0,1496.0,54,1,0,0,1,6,28,0,0
211,0,19908.0,0.0,8000.0,1289.28,45,0,8,0,0,1,1,0,1
212,0,16800.0,0.0,10080.0,1370.88,20,2,1,0,0,4,2,0,0
213,0,15960.0,0.0,9999.36,3024.0,0,0,0,0,0,0,0,0,0
214,0,16296.0,0.0,9744.0,3553.5359999999996,13,0,0,0,0,1,5,0,0
215,0,6786.72,0.0,1800.0,2387.96352,5,0,0,0,0,0,0,0,0
216,0,16800.0,0.0,5607.02,762.55472,45,0,4,0,1,1,26,1,0
217,0,10080.0,0.0,6720.0,1505.28,17,0,0,7,0,0,0,0,0
218,0,16800.0,0.0,8000.0,1088.0,10,0,0,0,3,1,0,0,0
219,0,13272.0,0.0,7056.0,3773.952,10,0,4,0,1,0,1,0,0
220,0,12012.0,0.0,14280.0,-4478.208,15,0,0,0,0,0,0,0,0
221,0,16800.0,0.0,7499.52,1019.93472,9,0,0,0,2,5,0,1,0
222,0,6786.72,0.0,1809.36,2371.58352,21,0,0,3,12,2,0,0,0
223,0,15960.0,0.0,11424.0,1599.36,8,0,0,0,0,2,1,0,0
224,0,6786.72,0.0,1809.36,2371.58352,22,0,1,2,12,2,0,0,0
225,0,15120.0,0.0,8400.0,3937.92,5,0,0,0,0,1,1,0,0
226,0,16800.0,0.0,8887.5,1208.7,46,0,0,4,9,6,2,4,0
227,0,10500.0,0.0,3873.05,1790.1625,39,1,2,0,0,5,13,8,0
228,0,6786.72,0.0,1809.36,2371.58352,19,0,1,0,12,2,0,0,0
229,0,17298.96,0.0,11398.8,2717.1513600000003,31,0,4,0,2,4,1,1,0
230,0,15624.0,0.0,7560.0,5189.184,0,0,0,0,0,0,0,0,0
231,0,23520.0,0.0,5500.0,9842.32,16,1,0,1,0,8,0,0,0
232,1,14999.04,0.0,10500.0,1739.2166399999999,0,0,0,0,2,1,3,0,0
233,0,18666.48,0.0,5600.0,846.21376,31,0,0,0,0,3,12,1,0
234,0,13440.0,0.0,9240.0,1727.04,41,0,1,0,0,7,19,0,0
235,0,10975.44,0.0,8232.0,723.9590400000001,13,0,0,0,0,0,0,0,0
236,0,16632.0,0.0,9999.36,3572.3520000000003,19,0,0,0,0,5,7,0,0
237,0,6786.72,0.0,1809.36,2371.58352,0,0,1,0,0,0,0,0,0
238,0,16800.0,0.0,11928.0,1780.8,0,0,0,0,0,0,0,0,0
239,0,14999.04,0.0,11249.28,989.93664,13,0,0,0,0,2,0,0,0
240,0,6786.72,0.0,1809.36,2371.58352,7,0,1,0,0,0,1,0,0
241,0,16800.0,0.0,7000.0,952.0,19,0,0,0,0,0,2,0,0
242,0,16999.92,0.0,11998.56,1873.37472,0,0,0,0,0,0,0,0,0
243,0,15128.4,0.0,10080.0,2264.7744,11,0,0,0,4,2,0,0,0
244,0,13440.0,0.0,7365.21,801.3348480000001,13,0,0,0,1,4,0,0,0
245,0,17472.0,0.0,13776.0,481.152,13,1,1,0,1,3,0,0,0
246,0,10500.0,0.0,4007.2,1555.4,0,0,0,0,0,0,0,0,0
247,0,16800.0,0.0,9957.0,1354.152,37,1,1,0,3,3,6,0,0
248,0,21840.0,0.0,15960.0,1861.44,40,0,0,0,3,3,6,0,0
249,0,11198.88,0.0,14280.0,-5141.71392,2,0,0,0,0,0,0,0,0
250,1,13805.0,0.0,11000.0,-7435.12,0,0,0,0,0,0,0,0,0
251,0,17472.0,0.0,9240.0,5017.152,11,0,0,0,0,1,0,0,0
252,0,12517.68,0.0,9974.16,240.26688,16,0,0,0,0,0,0,0,0
253,0,12768.0,0.0,7056.0,3362.688,12,0,0,0,0,0,0,0,0
254,0,16128.0,0.0,11991.84,1168.608,-2,0,0,0,0,0,0,0,0
255,0,16968.0,0.0,12536.16,1309.728,-2,0,0,0,0,0,0,0,0
256,0,13104.0,0.0,9629.76,1063.104,-2,0,0,0,0,0,0,0,0
257,0,14112.0,0.0,10387.44,1127.952,-2,0,0,0,0,0,0,0,0
258,0,6216.0,0.0,4200.0,872.2560000000001,14,0,0,0,0,0,0,0,0
259,0,5040.0,0.0,3864.0,248.64,4,0,0,0,0,0,0,0,0
260,0,18826.08,0.0,14481.6,880.4812800000001,0,0,0,0,0,0,0,0,0
261,0,13228.32,0.0,10175.76,618.54912,0,0,0,0,0,0,0,0,0
262,0,17472.0,0.0,6114.0,3863.3520000000003,12,0,0,0,0,2,0,0,0
263,1,6048.0,0.0,4032.0,903.168,0,0,3,0,7,0,0,0,0
264,0,13440.0,0.0,9000.0,979.2,0,0,0,0,0,10,5,6,0
265,0,21840.0,0.0,11760.0,6061.44,0,0,3,1,8,5,0,0,0
266,0,6720.0,0.0,4499.04,984.48,0,0,1,0,4,0,0,0,0
267,0,13440.0,0.0,7500.0,816.0,0,2,1,0,0,1,19,0,0
268,0,13440.0,0.0,4724.0,513.9712,0,0,0,0,0,4,0,0,0
269,0,19908.0,0.0,8000.0,1289.28,0,0,0,0,0,0,0,0,0
270,0,15120.0,0.0,8038.8,4299.12,0,0,4,0,0,1,5,0,0
271,0,4725.39,0.0,1346.1,1500.24324,0,0,0,0,0,0,0,0,0
272,0,0.0,0.0,7500.0,0.0,0,0,0,0,0,0,0,0,0
273,0,28392.0,0.0,9500.0,7017.871999999999,0,0,1,0,0,4,0,0,0
274,0,28392.0,0.0,7500.0,10417.872,0,0,0,4,0,0,0,0,0
275,0,12600.0,0.0,10920.0,-638.4,0,0,1,0,6,1,5,0,0
276,0,11198.88,0.0,7728.0,1410.28608,0,1,0,0,5,4,0,0,0
277,0,19908.0,0.0,6000.0,966.96,0,0,0,0,0,0,0,0,0
278,0,10500.0,0.0,4007.2,1555.4,0,0,1,0,11,0,0,0,0
279,0,12000.0,0.0,5036.4,1230.12,0,1,0,0,10,0,0,0,0
280,0,2100.0,0.0,8500.0,-12736.4,0,0,0,0,6,2,32,0,0
281,0,13272.0,0.0,8000.16,2829.792,0,3,0,0,0,0,0,0,0
282,0,10752.0,0.0,7224.0,1549.632,0,2,0,4,0,0,0,0,0
283,0,19908.0,0.0,2000.0,322.32,0,1,5,0,0,0,0,0,0
284,0,10080.0,0.0,6048.0,2177.28,0,0,0,0,0,0,0,0,0
285,0,8400.0,0.0,5376.0,1478.4,0,1,1,0,13,12,0,0,0
286,0,19908.0,0.0,6000.0,966.96,0,0,0,0,0,0,0,0,0
287,0,16800.0,0.0,2998.8,407.8368,0,0,0,0,0,0,0,0,0
288,0,22176.0,0.0,13440.0,4655.616,0,0,0,0,0,0,0,0,0
289,0,9878.4,0.0,7560.0,500.7744,0,1,1,1,0,11,7,0,0
290,0,16800.0,0.0,12264.0,1444.8,0,1,0,6,0,0,0,0,0
291,1,17976.0,0.0,13776.0,892.416,0,0,0,0,0,0,0,0,0
292,0,22512.0,0.0,14280.0,4089.792,0,0,0,0,0,0,0,0,0
293,0,18312.0,0.0,11760.0,3182.592,0,0,0,0,0,0,0,0,0
294,0,19908.0,0.0,7000.0,1128.12,0,0,0,0,0,0,0,0,0
295,0,5384.62,0.0,2041.4,821.3999200000001,0,1,0,0,0,0,0,0,0
296,0,18816.0,0.0,12600.0,2753.8559999999998,0,0,0,0,0,0,0,0,0
297,0,19908.0,0.0,5500.0,886.38,0,0,0,0,0,0,0,0,0
298,0,16632.0,0.0,12000.24,1571.4720000000002,0,0,0,0,0,0,0,0,0
299,0,23184.0,0.0,13944.0,4974.144,0,0,2,0,10,2,12,7,0
300,0,19908.0,0.0,8500.0,1369.86,0,0,0,0,0,0,0,0,0
301,0,20059.2,0.0,3759.0,610.4014559999999,0,0,1,8,5,0,0,0,0
302,0,19152.0,0.0,13440.0,2188.032,0,0,0,0,0,0,0,0,0
303,0,4000.0,0.0,1450.0,726.5,0,0,0,0,0,0,0,0,0
304,0,25872.0,0.0,18480.0,2631.552,0,0,0,0,0,0,0,0,0
305,0,9000.0,0.0,3000.0,2094.0,0,0,0,0,0,0,0,0,0
306,0,9912.0,0.0,6602.4,1485.7920000000001,0,0,0,0,0,0,0,0,0
307,0,17976.0,0.0,13440.0,1228.4160000000002,0,0,0,0,0,0,0,0,0
308,0,11760.0,0.0,5040.0,4556.16,0,0,0,0,0,0,0,0,0
309,0,15288.0,0.0,8400.0,4075.008,0,0,0,0,0,0,0,0,0
310,0,18480.0,0.0,12600.0,2479.68,0,0,0,0,0,0,0,0,0
311,0,13440.0,0.0,7365.21,801.3348480000001,0,0,0,0,0,0,0,0,0
312,0,17136.0,0.0,12432.0,1550.976,0,0,0,0,0,0,0,0,0
313,0,17038.56,0.0,10920.0,2983.4649600000002,0,0,0,0,0,0,0,0,0
314,0,10799.04,0.0,6720.0,2092.01664,0,0,0,0,0,0,0,0,0
315,0,13440.0,0.0,9400.0,1022.72,0,0,0,0,0,0,0,0,0
316,0,15120.0,0.0,6216.0,760.8384,0,0,0,0,0,0,0,0,0
317,1,14627.76,0.0,8499.12,3437.13216,0,0,3,0,0,0,0,0,0
318,0,19908.0,0.0,3612.13,582.1308707999999,0,0,0,0,0,0,0,0,0
319,0,15960.0,0.0,12264.0,759.36,0,0,0,0,0,0,0,0,0
320,0,9744.0,0.0,6048.0,1903.104,0,0,0,0,0,0,0,0,0
321,0,10920.0,0.0,8064.0,846.72,0,0,0,0,0,0,0,0,0
322,1,14784.0,0.0,6500.0,1013.7439999999999,0,0,0,0,0,0,0,0,0
323,0,15120.0,0.0,5040.0,616.896,0,0,0,0,0,0,0,0,0
324,0,22680.0,0.0,21000.0,-2493.12,0,0,0,0,0,0,0,0,0
325,0,14758.8,0.0,9744.0,2299.1808,0,0,0,0,0,0,0,0,0
326,0,15120.0,0.0,6720.0,822.528,0,0,0,0,0,0,0,0,0
327,0,19908.0,0.0,6500.0,1047.54,0,0,0,0,0,0,0,0,0
328,1,17976.0,0.0,13440.0,1228.4160000000002,0,0,0,0,0,0,0,0,0
329,0,15624.0,0.0,8400.0,4349.184,0,0,0,0,0,0,0,0,0
330,0,5880.0,0.0,4704.0,94.08,0,0,0,0,0,0,0,0,0
331,0,20059.2,0.0,10920.0,1773.2332800000001,0,0,0,0,0,0,0,0,0
